Project ID,Compliance Program ID (ARB or Ecology),Project Developer,Project Name,Project Type,Project Methodology/Protocol,Current Crediting Period Start Date,Current Crediting Period End Date,Voluntary Status,Compliance Program Status (ARB or Ecology),Project Status Date,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Current VVB,ACR Project Validation,Total Number of Credits Registered ,Documents,Project Website
ACR586,N/A,The Climate Trust,18 Reserves Forest Carbon Project,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,1/15/2020,1/14/2040,Registered,Not ARB or Ecology Eligible,1/21/2022,Near Cleveland,OHIO,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","Aster Global Environmental Solutions, Inc.","Aster Global Environmental Solutions, Inc.",439593,View,
ACR206,CAOD5052,EOS Climate Inc,2014-P4,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,4/14/2014,4/13/2024,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",NSF International Strategic Registrations (NSF-ISR),N/A,71825,View,www.eosclimate.com
ACR203,,EOS Climate Inc,2014-P5,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,3/2/2014,3/1/2024,N/A,ARB Inactive,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",,N/A,,View,www.eosclimate.com
ACR521,CAOD5521,A-Gas US Inc.,A-Gas 1-2020,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,10/9/2019,10/8/2029,N/A,Listed - Active ARB Project,10/30/2019,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,N/A,62007,View,www.agasamericas.com
ACR522,CAOD5522,A-Gas US Inc.,A-Gas 2-2020,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,12/11/2019,12/10/2029,N/A,Listed - Active ARB Project,10/30/2019,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,N/A,94565,View,www.agasamericas.com
ACR902,,A-Gas US Inc.,A-Gas 2-2023,Ozone Depleting Substances,ECY Compliance Offset Protocol: Ozone Depleting Substances Projects,2/7/2023,2/6/2033,N/A,Submitted,8/15/2023,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,,,View,www.agasamericas.com
ACR443,CAOD5443,A-Gas US Inc.,A-Gas 2019-3,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,11/27/2018,11/26/2028,N/A,Listed - Active ARB Project,11/8/2018,"Wood County, Bowling Green, Ohio",OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,114871,View,www.agasamericas.com
ACR444,CAOD5444,A-Gas US Inc.,A-Gas 2019-4,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,2/15/2019,2/14/2029,N/A,Listed - Active ARB Project,11/7/2018,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,88307,View,www.agasamericas.com
ACR473,CAOD5473,A-Gas US Inc.,A-Gas 2019-5,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,3/27/2019,3/26/2029,N/A,Listed - Active ARB Project,3/6/2019,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",GHD Limited,N/A,125403,View,
ACR474,CAOD5474,A-Gas US Inc.,A-Gas 2019-6,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,5/29/2019,5/28/2029,N/A,Listed - Active ARB Project,3/6/2019,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",GHD Limited,N/A,149835,View,
ACR475,CAOD5475,A-Gas US Inc.,A-Gas 2019-7,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,5/17/2019,5/16/2029,N/A,Listed - Active ARB Project,3/6/2019,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",GHD Limited,N/A,91017,View,
ACR497,CAOD5497,A-Gas US Inc.,A-Gas 2019-8,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,8/15/2019,8/14/2029,N/A,Listed - Active ARB Project,7/19/2019,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",GHD Limited,N/A,42038,View,www.agasamericas.com
ACR503,CAOD5503,A-Gas US Inc.,A-Gas 2019-9,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,9/15/2019,9/14/2029,N/A,Listed - Active ARB Project,8/5/2019,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",GHD Limited,N/A,136444,View,www.agasamericas.com
